title,year,authors,venue,cited_by,doi,abstract,on_topic,found_under_themes,SCREEN_relevant_yn,data_source,ai_measure_unit,monetary_yn,sample,validation,data_free_or_commercial
Artificial Intelligence and Entrepreneurship: Implications for Venture Creation in the Fourth Industrial Revolution,2020,Dominic Chalmers; Niall MacKenzie; Sara Carter,Entrepreneurship Theory and Practice,481,https://doi.org/10.1177/1042258720934581,"This article explores the ways artificial intelligence (AI) may impact new venture processes, practices and outcomes. We examine how such technology will augment and replace tasks associated with idea production, selling, and scaling. These changes entail new ways of working, and we consider implications for the organizational design of entrepreneurial ventures. While AI can enhance entrepreneurial activities, liabilities stem from this technological leverage. We advance a research agenda that draws attention towards negative social and economic implications of AI, particularly for more traditional small firms at risk of disintermediation in an AI economy.",True,ai_patents_value,,,,,,,
Six Human-Centered Artificial Intelligence Grand Challenges,2023,Özlem Özmen Garibay; Brent Winslow; Salvatore Andolina; Margherita Antona; Anja Bodenschatz; Constantinos K. Coursaris,International Journal of Human-Computer Interaction,463,https://doi.org/10.1080/10447318.2022.2153320,"Widespread adoption of artificial intelligence (AI) technologies is substantially affecting the human condition in ways that are not yet well understood. Negative unintended consequences abound including the perpetuation and exacerbation of societal inequalities and divisions via algorithmic decision making. We present six grand challenges for the scientific community to create AI technologies that are human-centered, that is, ethical, fair, and enhance the human condition. These grand challenges are the result of an international collaboration across academia, industry and government and represent the consensus views of a group of 26 experts in the field of human-centered artificial intelligence (HCAI). In essence, these challenges advocate for a human-centered approach to AI that (1) is centered in human well-being, (2) is designed responsibly, (3) respects privacy, (4) follows human-centered design principles, (5) is subject to appropriate governance and oversight, and (6) interacts with individuals while respecting human’s cognitive capacities. We hope that these challenges and their associated research directions serve as a call for action to conduct research and development in AI that serves as a force multiplier towards more fair, equitable and sustainable societies.",True,ai_adoption; firm_ai_investment,,,,,,,
Stock Market Analysis: A Review and Taxonomy of Prediction Techniques,2019,Dev Shah; Haruna Isah; Farhana Zulkernine,International Journal of Financial Studies,461,https://doi.org/10.3390/ijfs7020026,"Stock market prediction has always caught the attention of many analysts and researchers. Popular theories suggest that stock markets are essentially a random walk and it is a fool’s game to try and predict them. Predicting stock prices is a challenging problem in itself because of the number of variables which are involved. In the short term, the market behaves like a voting machine but in the longer term, it acts like a weighing machine and hence there is scope for predicting the market movements for a longer timeframe. Application of machine learning techniques and other algorithms for stock price analysis and forecasting is an area that shows great promise. In this paper, we first provide a concise review of stock markets and taxonomy of stock market prediction methods. We then focus on some of the research achievements in stock analysis and prediction. We discuss technical, fundamental, short- and long-term approaches used for stock analysis. Finally, we present some challenges and research opportunities in this field.",True,ai_disclosure_nlp,,,,,,,
The Impact of Artificial Intelligence on Innovation,2018,Iain Cockburn; Rebecca Henderson; Scott Stern,National Bureau of Economic Research,438,https://doi.org/10.3386/w24449,"Artificial intelligence may greatly increase the efficiency of the existing economy. But it may have an even larger impact by serving as a new general-purpose ""method of invention"" that can reshape the nature of the innovation process and the organization of R&D. We distinguish between automation-oriented applications such as robotics and the potential for recent developments in ""deep learning"" to serve as a general-purpose method of invention, finding strong evidence of a ""shift"" in the importance of application-oriented learning research since 2009. We suggest that this is likely to lead to a significant substitution away from more routinized labor-intensive research towards research that takes advantage of the interplay between passively generated large datasets and enhanced prediction algorithms. At the same time, the potential commercial rewards from mastering this mode of research are likely to usher in a period of racing, driven by powerful incentives for individual companies to acquire and control critical large datasets and application-specific algorithms. We suggest that policies which encourage transparency and sharing of core datasets across both public and private actors may be critical tools for stimulating research productivity and innovation-oriented competition going forward.",True,ai_patents_value,,,,,,,
Artificial intelligence and industrial innovation: Evidence from German firm-level data,2022,Christian Rammer; Gastón P. Fernández; Dirk Czarnitzki,Research Policy,437,https://doi.org/10.1016/j.respol.2022.104555,,True,ai_adoption; ai_patents_value,,,,,,,
Augmenting human innovation teams with artificial intelligence: Exploring transformer‐based language models,2023,Sebastian Gregor Bouschery; Vera Blažević; Frank T. Piller,Journal of Product Innovation Management,399,https://doi.org/10.1111/jpim.12656,"Abstract The use of transformer‐based language models in artificial intelligence (AI) has increased adoption in various industries and led to significant productivity advancements in business operations. This article explores how these models can be used to augment human innovation teams in the new product development process, allowing for larger problem and solution spaces to be explored and ultimately leading to higher innovation performance. The article proposes the use of the AI‐augmented double diamond framework to structure the exploration of how these models can assist in new product development (NPD) tasks, such as text summarization, sentiment analysis, and idea generation. It also discusses the limitations of the technology and the potential impact of AI on established practices in NPD. The article establishes a research agenda for exploring the use of language models in this area and the role of humans in hybrid innovation teams. (Note: Following the idea of this article, GPT‐3 alone generated this abstract. Only minor formatting edits were performed by humans.)",True,ai_patents_value,,,,,,,
Is artificial intelligence improving the audit process?,2022,Anastassia Fedyk; James Hodson; Natalya V. Khimich; Tatiana Fedyk,Review of Accounting Studies,396,https://doi.org/10.1007/s11142-022-09697-x,"Abstract How does artificial intelligence (AI) impact audit quality and efficiency? We explore this question by leveraging a unique dataset of more than 310,000 detailed individual resumes for the 36 largest audit firms to identify audit firms’ employment of AI workers. We provide a first look into the AI workforce within the auditing sector. AI workers tend to be male and relatively young and hold mostly but not exclusively technical degrees. Importantly, AI is a centralized function within the firm, with workers concentrating in a handful of teams and geographic locations. Our results show that investing in AI helps improve audit quality, reduces fees, and ultimately displaces human auditors, although the effect on labor takes several years to materialize. Specifically, a one-standard-deviation change in recent AI investments is associated with a 5.0% reduction in the likelihood of an audit restatement, a 0.9% drop in audit fees, and a reduction in the number of accounting employees that reaches 3.6% after three years and 7.1% after four years. Our empirical analyses are supported by in-depth interviews with 17 audit partners representing the eight largest U.S. public accounting firms, which show that (1) AI is developed centrally; (2) AI is widely used in audit; and (3) the primary goal for using AI in audit is improved quality, followed by efficiency.",True,ai_adoption; ai_patents_value; firm_ai_investment,,,,,,,
Exploring artificial intelligence adoption in public organizations: a comparative case study,2022,Oliver Neumann; Katharina Guirguis; Reto Steiner,Public Management Review,395,https://doi.org/10.1080/14719037.2022.2048685,"Despite the enormous potential of artificial intelligence (AI), many public organizations struggle to adopt this technology. Simultaneously, empirical research on what determines successful AI adoption in public settings remains scarce. Using the technology organization environment (TOE) framework, we address this gap with a comparative case study of eight Swiss public organizations. Our findings suggest that the importance of technological and organizational factors varies depending on the organization’s stage in the adoption process, whereas environmental factors are generally less critical. Accordingly, this study advances our theoretical understanding of the specificities of AI adoption in public organizations throughout the different adoption stages.",True,ai_adoption,,,,,,,
Artificial intelligence and firm-level productivity,2023,Dirk Czarnitzki; Gastón P. Fernández; Christian Rammer,Journal of Economic Behavior & Organization,349,https://doi.org/10.1016/j.jebo.2023.05.008,"Artificial Intelligence (AI) is often regarded as the next general-purpose technology with a rapid, penetrating, and far-reaching use over a broad number of industrial sectors. The main feature of new general-purpose technology is to enable new ways of production that may increase productivity. However, to date, only a few studies have investigated the likely productivity effects of AI at the firm-level, presumably due to limited data availability. We exploit unique survey data on firms’ adoption of AI technology and estimate its productivity effects with a sample of German firms. We employ both a cross-sectional dataset and a panel database. To address the potential endogeneity of AI adoption, we also implement IV estimators. We find positive and significant associations between the use of AI and firm productivity. This finding holds for different measures of AI usage, i.e., an indicator variable of AI adoption, and the intensity with which firms use AI methods in their business processes.",True,ai_adoption; ai_patents_value; firm_ai_investment; it_adoption_history,,,,,,,
Artificial intelligence and corporate innovation: A review and research agenda,2022,Salman Bahoo; Marco Cucculelli; Dawood Qamar,Technological Forecasting and Social Change,329,https://doi.org/10.1016/j.techfore.2022.122264,,True,ai_patents_value; firm_ai_investment,,,,,,,
The impact of artificial intelligence on labor productivity,2021,Giacomo Damioli; Vincent Van Roy; Dániel Vértesy,Eurasian Economic Review,315,https://doi.org/10.1007/s40821-020-00172-8,"Abstract Recent evidence indicates an upsurge in artificial intelligence and robotics (AI) patenting activities in the latest years, suggesting that solutions based on AI technologies might have started to exert an effect on the economy. We test this hypothesis using a worldwide sample of 5257 companies having filed at least a patent related to the field of AI between 2000 and 2016. Our analysis shows that, once controlling for other patenting activities, AI patent applications generate an extra-positive effect on companies’ labor productivity. The effect concentrates on SMEs and services industries, suggesting that the ability to quickly readjust and introduce AI-based applications in the production process is an important determinant of the impact of AI observed to date.",True,ai_patents_value,,,,,,,
Artificial intelligence focus and firm performance,2022,Sagarika Mishra; Michael T. Ewing; Holly B. Cooper,Journal of the Academy of Marketing Science,200,https://doi.org/10.1007/s11747-022-00876-5,"Abstract Artificial Intelligence is poised to transform all facets of marketing. In this study, we examine the link between firms’ focus on AI in their 10-K reports and their gross and net operating efficiency. 10-K reports are a salient source of insight into an array of issues in accounting and finance research, yet remain relatively overlooked in marketing. Drawing upon economic and marketing theory, we develop a guiding framework to show how firms’ AI focus could be related to gross and net operating efficiency. We then use a system of simultaneous equations to empirically test the relationship between AI focus and operating efficiency. Our findings confirm that US-listed firms are in a state of impending transformation with regards to AI. We show how AI focus is associated with improvements in net profitability, net operating efficiency and return on marketing-related investment while reducing adspend and creating jobs.",True,ai_adoption; ai_disclosure_nlp; firm_ai_investment,,,,,,,
"Artificial Intelligence, Economics, and Industrial Organization",2018,Hal R. Varian,National Bureau of Economic Research,192,https://doi.org/10.3386/w24839,"Machine learning (ML) and artificial intelligence (AI) have been around for many years. However, in the last 5 years, remarkable progress has been made using multilayered neural networks in diverse areas such as image recognition, speech recognition, and machine translation. AI is a general purpose technology that is likely to impact many industries. In this chapter I consider how machine learning availability might affect the industrial organization of both firms that provide AI services and industries that adopt AI technology. My intent is not to provide an extensive overview of this rapidly-evolving area, but instead to provide a short summary of some of the forces at work and to describe some possible areas for future research.",True,ai_patents_value,,,,,,,
The simple macroeconomics of AI,2024,Daron Acemoğlu,Economic Policy,191,https://doi.org/10.1093/epolic/eiae042,"SUMMARY This paper evaluates claims about the large macroeconomic implications of new advances in Artificial intelligence (AI). It starts from a task-based model of AI’s effects, working through automation and task complementarities. So long as AI’s microeconomic effects are driven by cost savings/productivity improvements at the task level, its macroeconomic consequences will be given by a version of Hulten’s theorem: Gross Domestic Product (GDP) and aggregate productivity gains can be estimated by what fraction of tasks are impacted and average task-level cost savings. Using existing estimates on exposure to AI and productivity improvements at the task level, these macroeconomic effects appear non-trivial but modest – no more than a 0.66% increase in total factor productivity (TFP) over 10 years. The paper then argues that even these estimates could be exaggerated, because early evidence is from easy-to-learn tasks, whereas some of the future effects will come from hard-to-learn tasks, where there are many context-dependent factors affecting decision-making and no objective outcome measures from which to learn successful performance. Consequently, predicted TFP gains over the next 10 years are even more modest and are predicted to be less than 0.53%. I also explore AI’s wage and inequality effects. I show theoretically that even when AI improves the productivity of low-skill workers in certain tasks (without creating new tasks for them), this may increase rather than reduce inequality. Empirically, I find that AI advances are unlikely to increase inequality as much as previous automation technologies because their impact is more equally distributed across demographic groups, but there is also no evidence that AI will reduce labour income inequality. Instead, AI is predicted to widen the gap between capital and labour income. Finally, some of the new tasks created by AI may have negative social value (such as the design of algorithms for online manipulation), and I discuss how to incorporate the macroeconomic effects of new tasks that may have negative social value.",True,ai_exposure,,,,,,,
The Evolutionary Dynamics of the Artificial Intelligence Ecosystem,2021,Michael G. Jacobides; Stefano Brusoni; Francois Candelon,Strategy Science,190,https://doi.org/10.1287/stsc.2021.0148,"We analyze the sectoral and national systems of firms and institutions that collectively engage in artificial intelligence (AI). Moving beyond the analysis of AI as a general-purpose technology or its particular areas of application, we draw on the evolutionary analysis of sectoral systems and ask, “Who does what?” in AI. We provide a granular view of the complex interdependency patterns that connect developers, manufacturers, and users of AI. We distinguish between AI enablement, AI production, and AI consumption and analyze the emerging patterns of cospecialization between firms and communities. We find that AI provision is characterized by the dominance of a small number of Big Tech firms, whose downstream use of AI (e.g., search, payments, social media) has underpinned much of the recent progress in AI and who also provide the necessary upstream computing power provision (Cloud and Edge). These firms dominate top academic institutions in AI research, further strengthening their position. We find that AI is adopted by and benefits the small percentage of firms that can both digitize and access high-quality data. We consider how the AI sector has evolved differently in the three key geographies—China, the United States, and the European Union—and note that a handful of firms are building global AI ecosystems. Our contribution is to showcase the evolution of evolutionary thinking with AI as a case study: we show the shift from national/sectoral systems to triple-helix/innovation ecosystems and digital platforms. We conclude with the implications of such a broad evolutionary account for theory and practice.",True,ai_patents_value,,,,,,,
Advanced Technologies Adoption and Use by U.S. Firms: Evidence from the Annual Business Survey,2020,Nikolas Zolas; Zachary Kroff; Erik Brynjolfsson; Kristina McElheran; David N. Beede; Cathy Buffington,National Bureau of Economic Research,173,https://doi.org/10.3386/w28290,"We introduce a new survey module intended to complement and expand research on the causes and consequences of advanced technology adoption. The 2018 Annual Business Survey (ABS), conducted by the Census Bureau in partnership with the National Center for Science and Engineering Statistics (NCSES), provides comprehensive and timely information on the diffusion among U.S. firms of advanced technologies including artificial intelligence (AI), cloud computing, robotics, and the digitization of business information. The 2018 ABS is a large, nationally representative sample of over 850,000 firms covering all private, nonfarm sectors of the economy. We describe the motivation for and development of the technology module in the ABS, as well as provide a first look at technology adoption and use patterns across firms and sectors. We find that digitization is quite widespread, as is some use of cloud computing. In contrast, advanced technology adoption is rare and generally skewed towards larger and older firms. Adoption patterns are consistent with a hierarchy of increasing technological sophistication, in which most firms that adopt AI or other advanced business technologies also use the other, more widely diffused technologies. Finally, while few firms are at the technology frontier, they tend to be large so technology exposure of the average worker is significantly higher.",True,it_adoption_history,,,,,,,
Primer on artificial intelligence and robotics,2019,Manav Raj; Robert Seamans,Journal of Organization Design,161,https://doi.org/10.1186/s41469-019-0050-0,"This article provides an introduction to artificial intelligence, robotics, and research streams that examine the economic and organizational consequences of these and related technologies. We describe the nascent research on artificial intelligence and robotics in the economics and management literature and summarize the dominant approaches taken by scholars in this area. We discuss the implications of artificial intelligence, robotics, and automation for organizational design and firm strategy, argue for greater engagement with these topics by organizational and strategy researchers, and outline directions for future research.",True,ai_patents_value,,,,,,,
Artificial intelligence and radical innovation: an opportunity for all companies?,2022,Nils Grashof; Alexander Kopka,Small Business Economics,156,https://doi.org/10.1007/s11187-022-00698-3,"Abstract Artificial intelligence (AI) is often seen as a key technology for future economic growth. However, its concrete effects on the emergence of radical innovations and the associated socio-economic impacts, through increasing divergence between smaller and larger firms, have not yet been systematically researched. This paper addresses this by investigating the extent to which AI-related knowledge influences the emergence of radical innovations and differentiates between SMEs and large firms. Based on a unique dataset of European firms combining firm-level data with patent data, we find a nuanced influence from AI. While AI applications assert a positive influence, AI techniques negatively influence the emergence of radical innovations. Being an SME significantly moderates these effects. Larger firms gain from AI applications, whereas SMEs gain from AI techniques. Therefore, AI knowledge in itself is not a general answer to increase the likelihood of creating radical innovation. Instead, a more differentiated view on AI is needed.",True,ai_patents_value,,,,,,,
Gen-AI,2024,Mauro Cazzaniga; Florence Jaumotte; Longji Li; Giovanni Melina; Augustus Panton; Carlo Pizzinelli,IMF staff discussion note,149,https://doi.org/10.5089/9798400262548.006,"Artificial Intelligence (AI) has the potential to reshape the global economy, especially in the realm of labor markets. Advanced economies will experience the benefits and pitfalls of AI sooner than emerging market and developing economies, largely due to their employment structure focused on cognitive-intensive roles. There are some consistent patterns concerning AI exposure, with women and college-educated individuals more exposed but also better poised to reap AI benefits, and older workers potentially less able to adapt to the new technology. Labor income inequality may increase if the complementarity between AI and high-income workers is strong, while capital returns will increase wealth inequality. However, if productivity gains are sufficiently large, income levels could surge for most workers. In this evolving landscape, advanced economies and more developed emerging markets need to focus on upgrading regulatory frameworks and supporting labor reallocation, while safeguarding those adversely affected. Emerging market and developing economies should prioritize developing digital infrastructure and digital skills",True,ai_exposure,,,,,,,
The Simple Macroeconomics of AI,2024,Daron Acemoğlu,National Bureau of Economic Research,149,https://doi.org/10.3386/w32487,"SUMMARY This paper evaluates claims about the large macroeconomic implications of new advances in Artificial intelligence (AI). It starts from a task-based model of AI’s effects, working through automation and task complementarities. So long as AI’s microeconomic effects are driven by cost savings/productivity improvements at the task level, its macroeconomic consequences will be given by a version of Hulten’s theorem: Gross Domestic Product (GDP) and aggregate productivity gains can be estimated by what fraction of tasks are impacted and average task-level cost savings. Using existing estimates on exposure to AI and productivity improvements at the task level, these macroeconomic effects appear non-trivial but modest – no more than a 0.66% increase in total factor productivity (TFP) over 10 years. The paper then argues that even these estimates could be exaggerated, because early evidence is from easy-to-learn tasks, whereas some of the future effects will come from hard-to-learn tasks, where there are many context-dependent factors affecting decision-making and no objective outcome measures from which to learn successful performance. Consequently, predicted TFP gains over the next 10 years are even more modest and are predicted to be less than 0.53%. I also explore AI’s wage and inequality effects. I show theoretically that even when AI improves the productivity of low-skill workers in certain tasks (without creating new tasks for them), this may increase rather than reduce inequality. Empirically, I find that AI advances are unlikely to increase inequality as much as previous automation technologies because their impact is more equally distributed across demographic groups, but there is also no evidence that AI will reduce labour income inequality. Instead, AI is predicted to widen the gap between capital and labour income. Finally, some of the new tasks created by AI may have negative social value (such as the design of algorithms for online manipulation), and I discuss how to incorporate the macroeconomic effects of new tasks that may have negative social value.",True,ai_exposure,,,,,,,
